term	topic	ln_prob
behaviour	2	-5.917181734495733
benjamin	1	-8.307705966549513
benjamin	2	-5.917181734495733
better	1	-8.307705966549513
better	2	-5.27055456957068
bigboy	1	-5.909810693751143
bigboy	2	-8.315077007294104
bipedally	1	-8.307705966549513
bipedally	2	-5.917181734495733
bitsy	1	-5.909810693751143
bitsy	2	-8.315077007294104
blasting	1	-5.909810693751143
blasting	2	-8.315077007294104
bleating	1	-5.909810693751143
bleating	2	-8.315077007294104
blitz	1	-5.909810693751143
blitz	2	-8.315077007294104
blow	1	-8.307705966549513
blow	2	-5.917181734495733
blue	1	-4.873718762064367
blue	2	-8.315077007294104
boar	1	-5.26318352882609
boar	2	-8.315077007294104
boars	1	-8.307705966549513
boars	2	-5.917181734495733
bomb	1	-5.909810693751143
bomb	2	-8.315077007294104
bombs	1	-8.307705966549513
bombs	2	-5.917181734495733
books	1	-5.909810693751143
books	2	-8.315077007294104
boom	1	-5.909810693751143
boom	2	-8.315077007294104
boomeroo	1	-8.307705966549513
boomeroo	2	-5.917181734495733
boxer	1	-8.307705966549513
boxer	2	-4.601504940589796
boxers	1	-8.307705966549513
boxers	2	-5.917181734495733
bread	1	-8.307705966549513
bread	2	-5.27055456957068
building	1	-5.26318352882609
building	2	-8.315077007294104
butterside	1	-8.307705966549513
butterside	2	-5.27055456957068
buy	1	-8.307705966549513
buy	2	-5.917181734495733
called	1	-8.307705966549513
called	2	-4.383251374569777
calls	1	-5.909810693751143
calls	2	-8.315077007294104
cards	1	-8.307705966549513
cards	2	-5.917181734495733
carried	1	-8.307705966549513
carried	2	-5.917181734495733
carry	1	-5.909810693751143
carry	2	-8.315077007294104
celebrate	1	-5.909810693751143
celebrate	2	-8.315077007294104
changed	1	-5.909810693751143
changed	2	-8.315077007294104
changes	1	-5.26318352882609
changes	2	-8.315077007294104
charges	1	-8.307705966549513
charges	2	-5.917181734495733
chasing	1	-5.909810693751143
chasing	2	-8.315077007294104
cheated	1	-5.909810693751143
cheated	2	-8.315077007294104
cheating	1	-8.307705966549513
cheating	2	-5.917181734495733
cherry	1	-8.307705966549513
cherry	2	-5.917181734495733
chowder	1	-5.909810693751143
chowder	2	-8.315077007294104
circle	1	-5.909810693751143
circle	2	-8.315077007294104
claiming	1	-8.307705966549513
claiming	2	-5.917181734495733
claims	1	-5.909810693751143
claims	2	-8.315077007294104
clam	1	-5.909810693751143
clam	2	-8.315077007294104
clothes	1	-8.307705966549513
clothes	2	-5.27055456957068
collaborator	1	-8.307705966549513
collaborator	2	-5.917181734495733
collapsed	1	-8.307705966549513
collapsed	2	-5.917181734495733
collapses	1	-5.909810693751143
collapses	2	-8.315077007294104
come	1	-8.307705966549513
come	2	-5.917181734495733
command	1	-8.307705966549513
command	2	-5.27055456957068
commandments	1	-8.307705966549513
commandments	2	-4.881089802808957
commemorate	1	-5.909810693751143
commemorate	2	-8.315077007294104
committee	1	-8.307705966549513
committee	2	-5.917181734495733
composed	1	-8.307705966549513
composed	2	-5.917181734495733
comrade	1	-5.909810693751143
comrade	2	-8.315077007294104
conducts	1	-8.307705966549513
conducts	2	-5.917181734495733
conference	1	-8.307705966549513
conference	2	-5.917181734495733
conflict	1	-8.307705966549513
conflict	2	-5.917181734495733
consorting	1	-5.909810693751143
consorting	2	-8.315077007294104
constructed	1	-8.307705966549513
constructed	2	-5.917181734495733
continual	1	-5.909810693751143
continual	2	-8.315077007294104
contradicts	1	-8.307705966549513
contradicts	2	-5.917181734495733
cost	1	-5.909810693751143
cost	2	-8.315077007294104
counterattack	1	-4.873718762064367
counterattack	2	-8.315077007294104
courage	1	-5.909810693751143
courage	2	-8.315077007294104
cowshed	1	-5.26318352882609
cowshed	2	-8.315077007294104
create	1	-5.909810693751143
create	2	-8.315077007294104
creation	1	-8.307705966549513
creation	2	-5.917181734495733
credit	1	-5.909810693751143
credit	2	-8.315077007294104
culminates	1	-5.909810693751143
culminates	2	-8.315077007294104
cultures	1	-5.909810693751143
cultures	2	-8.315077007294104
curving	1	-5.909810693751143
curving	2	-8.315077007294104
daniel	1	-8.307705966549513
daniel	2	-5.917181734495733
day	1	-5.909810693751143
day	2	-8.315077007294104
dead	1	-5.909810693751143
dead	2	-8.315077007294104
death	1	-8.307705966549513
death	2	-5.917181734495733
defense	1	-5.909810693751143
defense	2	-8.315077007294104
despite	1	-5.909810693751143
despite	2	-8.315077007294104
destruction	1	-5.909810693751143
destruction	2	-8.315077007294104
destructive	1	-8.307705966549513
destructive	2	-5.917181734495733
develop	1	-5.909810693751143
develop	2	-8.315077007294104
devise	1	-8.307705966549513
devise	2	-5.917181734495733
died	1	-8.307705966549513
died	2	-5.917181734495733
dies	1	-5.909810693751143
dies	2	-8.315077007294104
diminutive	1	-8.307705966549513
diminutive	2	-5.917181734495733
dinner	1	-5.909810693751143
dinner	2	-8.315077007294104
discussedincluding	1	-8.307705966549513
discussedincluding	2	-5.917181734495733
dismissing	1	-8.307705966549513
dismissing	2	-5.917181734495733
display	1	-5.909810693751143
display	2	-8.315077007294104
dispute	1	-5.909810693751143
dispute	2	-8.315077007294104
disputes	1	-5.909810693751143
disputes	2	-8.315077007294104
dogs	1	-8.307705966549513
dogs	2	-5.27055456957068
donkey	1	-5.909810693751143
donkey	2	-8.315077007294104
driedfried	1	-5.909810693751143
driedfried	2	-8.315077007294104
drink	1	-5.909810693751143
drink	2	-8.315077007294104
driving	1	-5.909810693751143
driving	2	-8.315077007294104
drop	1	-5.26318352882609
drop	2	-8.315077007294104
due	1	-8.307705966549513
due	2	-5.917181734495733
easier	1	-5.909810693751143
easier	2	-8.315077007294104
easily	1	-8.307705966549513
easily	2	-5.917181734495733
eat	1	-5.26318352882609
eat	2	-8.315077007294104
educates	1	-8.307705966549513
educates	2	-5.917181734495733
effectively	1	-5.909810693751143
effectively	2	-8.315077007294104
eggs	1	-5.909810693751143
eggs	2	-8.315077007294104
eightnozzled	1	-5.909810693751143
eightnozzled	2	-8.315077007294104
electric	1	-5.909810693751143
electric	2	-8.315077007294104
elephanttoted	1	-5.909810693751143
elephanttoted	2	-8.315077007294104
elevate	1	-8.307705966549513
elevate	2	-5.917181734495733
enacts	1	-8.307705966549513
enacts	2	-5.917181734495733
end	1	-8.307705966549513
end	2	-5.917181734495733
engineered	1	-8.307705966549513
engineered	2	-5.917181734495733
england	1	-8.307705966549513
england	2	-4.881089802808957
equal	1	-8.307705966549513
equal	2	-4.881089802808957
escalating	1	-5.909810693751143
escalating	2	-8.315077007294104
even	1	-5.909810693751143
even	2	-8.315077007294104
eventually	1	-5.26318352882609
eventually	2	-8.315077007294104
exalted	1	-5.909810693751143
exalted	2	-8.315077007294104
executed	1	-8.307705966549513
executed	2	-5.917181734495733
exhumed	1	-8.307705966549513
exhumed	2	-5.917181734495733
extreme	1	-5.909810693751143
extreme	2	-8.315077007294104
extremely	1	-8.307705966549513
extremely	2	-5.917181734495733
facing	1	-5.909810693751143
facing	2	-8.315077007294104
fact	1	-5.909810693751143
fact	2	-8.315077007294104
falsely	1	-8.307705966549513
falsely	2	-5.917181734495733
farm	1	-3.4325086433483616
farm	2	-8.315077007294104
farmer	1	-5.26318352882609
farmer	2	-8.315077007294104
farmers	1	-5.26318352882609
farmers	2	-8.315077007294104
festival	1	-5.909810693751143
festival	2	-8.315077007294104
find	1	-5.26318352882609
find	2	-8.315077007294104
fired	1	-5.909810693751143
fired	2	-8.315077007294104
first	1	-8.307705966549513
first	2	-5.917181734495733
flag	1	-5.26318352882609
flag	2	-8.315077007294104
flattering	1	-5.909810693751143
flattering	2	-8.315077007294104
fling	1	-5.909810693751143
fling	2	-8.315077007294104
followed	1	-8.307705966549513
followed	2	-5.917181734495733
following	1	-8.307705966549513
following	2	-4.881089802808957
food	1	-8.307705966549513
food	2	-5.27055456957068
forgotten	1	-8.307705966549513
forgotten	2	-5.27055456957068
four	1	-8.307705966549513
four	2	-4.881089802808957
frederick	1	-8.307705966549513
frederick	2	-5.917181734495733
game	1	-5.909810693751143
game	2	-8.315077007294104
gather	1	-5.909810693751143
gather	2	-8.315077007294104
generals	1	-5.909810693751143
generals	2	-8.315077007294104
given	1	-8.307705966549513
given	2	-5.917181734495733
glorifying	1	-5.909810693751143
glorifying	2	-8.315077007294104
gonna	1	-8.307705966549513
gonna	2	-5.917181734495733
goo	1	-5.909810693751143
goo	2	-8.315077007294104
good	1	-8.307705966549513
good	2	-4.601504940589796
governing	1	-8.307705966549513
governing	2	-5.917181734495733
gradually	1	-8.307705966549513
gradually	2	-5.917181734495733
grandfather	1	-8.307705966549513
grandfather	2	-5.917181734495733
grandson	1	-8.307705966549513
grandson	2	-5.917181734495733
great	1	-8.307705966549513
great	2	-5.917181734495733
green	1	-5.26318352882609
green	2	-8.315077007294104
gun	1	-5.909810693751143
gun	2	-8.315077007294104
hands	1	-5.909810693751143
hands	2	-8.315077007294104
happiest	1	-5.909810693751143
happiest	2	-8.315077007294104
harder	1	-8.307705966549513
harder	2	-5.917181734495733
hardships	1	-8.307705966549513
hardships	2	-5.917181734495733
head	1	-5.909810693751143
head	2	-8.315077007294104
health	1	-8.307705966549513
health	2	-5.917181734495733
heating	1	-5.909810693751143
heating	2	-8.315077007294104
helping	1	-5.909810693751143
helping	2	-8.315077007294104
henceforth	1	-8.307705966549513
henceforth	2	-5.917181734495733
hero	1	-5.909810693751143
hero	2	-8.315077007294104
highexplosive	1	-8.307705966549513
highexplosive	2	-5.917181734495733
holds	1	-8.307705966549513
holds	2	-5.27055456957068
home	1	-5.909810693751143
home	2	-8.315077007294104
honours	1	-8.307705966549513
honours	2	-5.917181734495733
hoof	1	-8.307705966549513
hoof	2	-5.27055456957068
horn	1	-5.26318352882609
horn	2	-8.315077007294104
hospital	1	-5.909810693751143
hospital	2	-8.315077007294104
however	1	-5.909810693751143
however	2	-8.315077007294104
human	1	-8.307705966549513
human	2	-5.917181734495733
humanlike	1	-5.909810693751143
humanlike	2	-8.315077007294104
humans	1	-8.307705966549513
humans	2	-5.27055456957068
idea	1	-8.307705966549513
idea	2	-5.27055456957068
ideals	1	-8.307705966549513
ideals	2	-5.917181734495733
identical	1	-5.909810693751143
identical	2	-8.315077007294104
important	1	-8.307705966549513
important	2	-5.917181734495733
include	1	-8.307705966549513
include	2	-5.917181734495733
including	1	-5.909810693751143
including	2	-8.315077007294104
income	1	-5.909810693751143
income	2	-8.315077007294104
increasingly	1	-8.307705966549513
increasingly	2	-5.917181734495733
indistinguishable	1	-8.307705966549513
indistinguishable	2	-5.917181734495733
inebriates	1	-5.909810693751143
inebriates	2	-8.315077007294104
inner	1	-5.909810693751143
inner	2	-8.315077007294104
intended	1	-5.909810693751143
intended	2	-8.315077007294104
interlinked	1	-8.307705966549513
interlinked	2	-5.917181734495733
invited	1	-5.909810693751143
invited	2	-8.315077007294104
irresponsible	1	-5.909810693751143
irresponsible	2	-8.315077007294104
items	1	-8.307705966549513
items	2	-5.917181734495733
jigger	1	-5.26318352882609
jigger	2	-8.315077007294104
jiggerrock	1	-8.307705966549513
jiggerrock	2	-5.917181734495733
jones	1	-8.307705966549513
jones	2	-4.052397130252788
just	1	-5.909810693751143
just	2	-8.315077007294104
kickapoo	1	-5.909810693751143
kickapoo	2	-8.315077007294104
kid	1	-5.909810693751143
kid	2	-8.315077007294104
knacker	1	-5.26318352882609
knacker	2	-8.315077007294104
knackers	1	-5.909810693751143
knackers	2	-8.315077007294104
known	1	-5.909810693751143
known	2	-8.315077007294104
large	1	-5.26318352882609
large	2	-8.315077007294104
later	1	-5.909810693751143
later	2	-8.315077007294104
laws	1	-5.909810693751143
laws	2	-8.315077007294104
leadership	1	-5.909810693751143
leadership	2	-8.315077007294104
leads	1	-5.909810693751143
leads	2	-8.315077007294104
legs	1	-4.196832102376202
legs	2	-5.917181734495733
letters	1	-5.909810693751143
letters	2	-8.315077007294104
lifestyle	1	-8.307705966549513
lifestyle	2	-5.917181734495733
lighting	1	-5.909810693751143
lighting	2	-8.315077007294104
live	1	-8.307705966549513
live	2	-5.27055456957068
lives	1	-8.307705966549513
lives	2	-5.27055456957068
loaded	1	-8.307705966549513
loaded	2	-5.917181734495733
long	1	-8.307705966549513
long	2	-5.917181734495733
look	1	-5.909810693751143
look	2	-8.315077007294104
machine	1	-4.873718762064367
machine	2	-8.315077007294104
made	1	-5.909810693751143
made	2	-8.315077007294104
main	1	-5.909810693751143
main	2	-8.315077007294104
major	1	-5.26318352882609
major	2	-8.315077007294104
majors	1	-8.307705966549513
majors	2	-5.27055456957068
makes	1	-5.909810693751143
makes	2	-8.315077007294104
man	1	-8.307705966549513
man	2	-5.917181734495733
manor	1	-5.26318352882609
manor	2	-8.315077007294104
many	1	-5.909810693751143
many	2	-5.27055456957068
manypronged	1	-8.307705966549513
manypronged	2	-5.917181734495733
matters	1	-8.307705966549513
matters	2	-5.917181734495733
maxim	1	-8.307705966549513
maxim	2	-5.917181734495733
meetings	1	-5.909810693751143
meetings	2	-8.315077007294104
men	1	-5.26318352882609
men	2	-8.315077007294104
modernise	1	-5.909810693751143
modernise	2	-8.315077007294104
money	1	-8.307705966549513
money	2	-5.917181734495733
mrs	1	-5.909810693751143
mrs	2	-8.315077007294104
mutual	1	-5.909810693751143
mutual	2	-8.315077007294104
name	1	-5.909810693751143
name	2	-8.315077007294104
named	1	-4.873718762064367
named	2	-8.315077007294104
napoleon	1	-8.307705966549513
napoleon	2	-3.1734134507914433
napoleons	1	-8.307705966549513
napoleons	2	-4.881089802808957
near	1	-8.307705966549513
near	2	-5.917181734495733
neglect	1	-5.909810693751143
neglect	2	-8.315077007294104
neighbouring	1	-5.909810693751143
neighbouring	2	-8.315077007294104
neither	1	-5.909810693751143
neither	2	-8.315077007294104
nets	1	-8.307705966549513
nets	2	-5.917181734495733
newly	1	-5.909810693751143
newly	2	-8.315077007294104
night	1	-5.26318352882609
night	2	-8.315077007294104
now	1	-5.26318352882609
now	2	-8.315077007294104
old	1	-8.307705966549513
old	2	-4.204203143120792
one	1	-4.3758803338251875
one	2	-8.315077007294104
opposite	1	-8.307705966549513
opposite	2	-5.917181734495733
orange	1	-8.307705966549513
orange	2	-5.917181734495733
orator	1	-8.307705966549513
orator	2	-5.917181734495733
ostensibly	1	-8.307705966549513
ostensibly	2	-5.917181734495733
others	1	-5.909810693751143
others	2	-8.315077007294104
outside	1	-5.909810693751143
outside	2	-8.315077007294104
overthrow	1	-8.307705966549513
overthrow	2	-5.917181734495733
owners	1	-5.909810693751143
owners	2	-8.315077007294104
pacified	1	-8.307705966549513
pacified	2	-5.917181734495733
painted	1	-5.909810693751143
painted	2	-8.315077007294104
participated	1	-5.909810693751143
participated	2	-8.315077007294104
party	1	-5.909810693751143
party	2	-8.315077007294104
pass	1	-8.307705966549513
pass	2	-5.917181734495733
patient	1	-5.909810693751143
patient	2	-8.315077007294104
patrolman	1	-5.909810693751143
patrolman	2	-8.315077007294104
patrolmans	1	-5.909810693751143
patrolmans	2	-5.917181734495733
persuade	1	-8.307705966549513
persuade	2	-5.917181734495733
persuading	1	-5.909810693751143
persuading	2	-8.315077007294104
phrase	1	-8.307705966549513
phrase	2	-5.917181734495733
pigs	1	-5.909810693751143
pigs	2	-4.383251374569777
pilkington	1	-8.307705966549513
pilkington	2	-5.917181734495733
pits	1	-5.909810693751143
pits	2	-8.315077007294104
plain	1	-8.307705966549513
plain	2	-5.917181734495733
plans	1	-8.307705966549513
plans	2	-5.917181734495733
play	1	-5.909810693751143
play	2	-8.315077007294104
playing	1	-5.909810693751143
playing	2	-8.315077007294104
plentiful	1	-5.909810693751143
plentiful	2	-8.315077007294104
plots	1	-8.307705966549513
plots	2	-5.917181734495733
point	1	-5.909810693751143
point	2	-8.315077007294104
poised	1	-8.307705966549513
poised	2	-5.917181734495733
political	1	-8.307705966549513
political	2	-5.917181734495733
pooadoo	1	-5.909810693751143
pooadoo	2	-8.315077007294104
poorly	1	-8.307705966549513
poorly	2	-5.917181734495733
populace	1	-5.909810693751143
populace	2	-8.315077007294104
positions	1	-8.307705966549513
positions	2	-5.917181734495733
possesses	1	-5.909810693751143
possesses	2	-8.315077007294104
powder	1	-5.26318352882609
powder	2	-8.315077007294104
powerful	1	-5.909810693751143
powerful	2	-8.315077007294104
practice	1	-5.909810693751143
practice	2	-8.315077007294104
praising	1	-5.909810693751143
praising	2	-8.315077007294104
present	1	-5.909810693751143
present	2	-8.315077007294104
presumably	1	-5.909810693751143
presumably	2	-8.315077007294104
previous	1	-5.909810693751143
previous	2	-8.315077007294104
prickly	1	-5.909810693751143
prickly	2	-8.315077007294104
primary	1	-5.909810693751143
primary	2	-8.315077007294104
principles	1	-8.307705966549513
principles	2	-5.917181734495733
project	1	-5.909810693751143
project	2	-8.315077007294104
promise	1	-8.307705966549513
promise	2	-5.917181734495733
property	1	-8.307705966549513
property	2	-5.917181734495733
puppies	1	-5.909810693751143
puppies	2	-8.315077007294104
purchased	1	-5.909810693751143
purchased	2	-8.315077007294104
purge	1	-8.307705966549513
purge	2	-5.27055456957068
put	1	-5.909810693751143
put	2	-8.315077007294104
quickly	1	-5.909810693751143
quickly	2	-8.315077007294104
race	1	-8.307705966549513
race	2	-5.27055456957068
raises	1	-5.909810693751143
raises	2	-8.315077007294104
reached	1	-5.909810693751143
reached	2	-8.315077007294104
read	1	-5.909810693751143
read	2	-8.315077007294104
rebellion	1	-8.307705966549513
rebellion	2	-5.27055456957068
rebuilt	1	-5.909810693751143
rebuilt	2	-8.315077007294104
reburied	1	-8.307705966549513
reburied	2	-5.917181734495733
recall	1	-5.909810693751143
recall	2	-8.315077007294104
recovers	1	-5.909810693751143
recovers	2	-8.315077007294104
red	1	-5.909810693751143
red	2	-8.315077007294104
referred	1	-8.307705966549513
referred	2	-5.917181734495733
remembered	1	-8.307705966549513
remembered	2	-5.917181734495733
renaming	1	-5.909810693751143
renaming	2	-8.315077007294104
repainted	1	-5.909810693751143
repainted	2	-8.315077007294104
repeatedly	1	-8.307705966549513
repeatedly	2	-5.917181734495733
replaced	1	-8.307705966549513
replaced	2	-5.27055456957068
replacing	1	-8.307705966549513
replacing	2	-5.917181734495733
replies	1	-5.909810693751143
replies	2	-8.315077007294104
reports	1	-8.307705966549513
reports	2	-5.917181734495733
representing	1	-8.307705966549513
representing	2	-5.917181734495733
resemble	1	-8.307705966549513
resemble	2	-5.917181734495733
resolution	1	-8.307705966549513
resolution	2	-5.917181734495733
rest	1	-8.307705966549513
rest	2	-5.917181734495733
restored	1	-5.909810693751143
restored	2	-8.315077007294104
restores	1	-5.909810693751143
restores	2	-8.315077007294104
results	1	-5.909810693751143
results	2	-8.315077007294104
retake	1	-8.307705966549513
retake	2	-5.917181734495733
retort	1	-5.909810693751143
retort	2	-8.315077007294104
revolt	1	-8.307705966549513
revolt	2	-5.917181734495733
revolutionary	1	-8.307705966549513
revolutionary	2	-5.27055456957068
rewrite	1	-8.307705966549513
rewrite	2	-5.917181734495733
ripened	1	-5.909810693751143
ripened	2	-8.315077007294104
rival	1	-5.909810693751143
rival	2	-8.315077007294104
rocks	1	-8.307705966549513
rocks	2	-5.917181734495733
rules	1	-8.307705966549513
rules	2	-5.917181734495733
run	1	-8.307705966549513
run	2	-5.917181734495733
running	1	-8.307705966549513
running	2	-5.917181734495733
runs	1	-8.307705966549513
runs	2	-5.917181734495733
sabotage	1	-5.909810693751143
sabotage	2	-8.315077007294104
sale	1	-5.909810693751143
sale	2	-8.315077007294104
saying	1	-5.909810693751143
saying	2	-8.315077007294104
second	1	-5.909810693751143
second	2	-8.315077007294104
secretly	1	-5.909810693751143
secretly	2	-8.315077007294104
see	1	-8.307705966549513
see	2	-5.27055456957068
set	1	-5.909810693751143
set	2	-8.315077007294104
seven	1	-8.307705966549513
seven	2	-4.881089802808957
sheeps	1	-8.307705966549513
sheeps	2	-5.917181734495733
shoots	1	-5.909810693751143
shoots	2	-8.315077007294104
side	1	-8.307705966549513
side	2	-4.601504940589796
sides	1	-8.307705966549513
sides	2	-4.601504940589796
signboard	1	-8.307705966549513
signboard	2	-5.917181734495733
similarly	1	-5.909810693751143
similarly	2	-8.315077007294104
simple	1	-8.307705966549513
simple	2	-5.917181734495733
skilled	1	-5.909810693751143
skilled	2	-8.315077007294104
skull	1	-5.26318352882609
skull	2	-8.315077007294104
slingshots	1	-5.26318352882609
slingshots	2	-8.315077007294104
small	1	-5.909810693751143
small	2	-8.315077007294104
smears	1	-8.307705966549513
smears	2	-5.917181734495733
smoothly	1	-8.307705966549513
smoothly	2	-5.917181734495733
snatchem	1	-5.909810693751143
snatchem	2	-8.315077007294104
snickberry	1	-5.909810693751143
snickberry	2	-8.315077007294104
snowball	1	-5.909810693751143
snowball	2	-3.6055468059817692
song	1	-5.909810693751143
song	2	-8.315077007294104
sour	1	-8.307705966549513
sour	2	-5.917181734495733
spades	1	-8.307705966549513
spades	2	-5.917181734495733
spaniel	1	-5.909810693751143
spaniel	2	-8.315077007294104
special	1	-5.909810693751143
special	2	-8.315077007294104
sprinkle	1	-5.909810693751143
sprinkle	2	-8.315077007294104
sputter	1	-5.26318352882609
sputter	2	-8.315077007294104
squealer	1	-4.594133899845206
squealer	2	-8.315077007294104
squealers	1	-5.909810693751143
squealers	2	-8.315077007294104
stage	1	-5.909810693751143
stage	2	-8.315077007294104
stalls	1	-8.307705966549513
stalls	2	-5.917181734495733
start	1	-5.26318352882609
start	2	-8.315077007294104
stone	1	-8.307705966549513
stone	2	-5.917181734495733
storm	1	-5.909810693751143
storm	2	-8.315077007294104
strike	1	-8.307705966549513
strike	2	-5.917181734495733
structure	1	-5.909810693751143
structure	2	-8.315077007294104
subsequently	1	-8.307705966549513
subsequently	2	-5.917181734495733
sung	1	-5.909810693751143
sung	2	-8.315077007294104
supreme	1	-8.307705966549513
supreme	2	-5.917181734495733
switch	1	-8.307705966549513
switch	2	-5.917181734495733
symbol	1	-8.307705966549513
symbol	2	-5.917181734495733
tablecloth	1	-8.307705966549513
tablecloth	2	-5.917181734495733
taken	1	-5.909810693751143
taken	2	-8.315077007294104
teaches	1	-5.26318352882609
teaches	2	-8.315077007294104
threat	1	-5.909810693751143
threat	2	-8.315077007294104
three	1	-8.307705966549513
three	2	-5.27055456957068
threeday	1	-5.909810693751143
threeday	2	-8.315077007294104
time	1	-8.307705966549513
time	2	-5.917181734495733
toughtufted	1	-5.909810693751143
toughtufted	2	-8.315077007294104
traditions	1	-5.909810693751143
traditions	2	-8.315077007294104
triplesling	1	-5.26318352882609
triplesling	2	-8.315077007294104
troubles	1	-8.307705966549513
troubles	2	-5.917181734495733
truth	1	-8.307705966549513
truth	2	-5.917181734495733
trying	1	-5.26318352882609
trying	2	-8.315077007294104
two	1	-8.307705966549513
two	2	-4.204203143120792
unsuccessful	1	-8.307705966549513
unsuccessful	2	-5.917181734495733
used	1	-5.909810693751143
used	2	-8.315077007294104
using	1	-8.307705966549513
using	2	-5.917181734495733
utterly	1	-5.909810693751143
utterly	2	-8.315077007294104
van	1	-8.307705966549513
van	2	-5.27055456957068
vanitch	1	-8.307705966549513
vanitch	2	-5.917181734495733
vehicle	1	-5.909810693751143
vehicle	2	-8.315077007294104
violent	1	-5.909810693751143
violent	2	-8.315077007294104
waiting	1	-8.307705966549513
waiting	2	-5.917181734495733
walk	1	-8.307705966549513
walk	2	-5.917181734495733
wall	1	-4.873718762064367
wall	2	-8.315077007294104
watch	1	-8.307705966549513
watch	2	-5.917181734495733
water	1	-5.909810693751143
water	2	-8.315077007294104
waves	1	-5.909810693751143
waves	2	-8.315077007294104
wear	1	-8.307705966549513
wear	2	-4.881089802808957
week	1	-5.909810693751143
week	2	-8.315077007294104
well	1	-5.26318352882609
well	2	-8.315077007294104
whip	1	-5.909810693751143
whip	2	-8.315077007294104
whips	1	-8.307705966549513
whips	2	-5.917181734495733
whisky	1	-5.909810693751143
whisky	2	-8.315077007294104
white	1	-8.307705966549513
white	2	-5.917181734495733
whos	1	-5.909810693751143
whos	2	-8.315077007294104
willingdon	1	-8.307705966549513
willingdon	2	-5.917181734495733
win	1	-5.26318352882609
win	2	-8.315077007294104
windmill	1	-3.9132568118770745
windmill	2	-8.315077007294104
window	1	-5.909810693751143
window	2	-8.315077007294104
work	1	-8.307705966549513
work	2	-5.27055456957068
workhorse	1	-8.307705966549513
workhorse	2	-5.917181734495733
working	1	-5.909810693751143
working	2	-8.315077007294104
works	1	-8.307705966549513
works	2	-5.917181734495733
wounded	1	-8.307705966549513
wounded	2	-5.917181734495733
write	1	-5.909810693751143
write	2	-8.315077007294104
years	1	-8.307705966549513
years	2	-5.917181734495733
yook	1	-5.26318352882609
yook	2	-8.315077007294104
yooks	1	-3.9132568118770745
yooks	2	-8.315077007294104
young	1	-5.26318352882609
young	2	-8.315077007294104
zook	1	-5.909810693751143
zook	2	-8.315077007294104
zooks	1	-4.3758803338251875
