topic	term	beta
1	acreage	4.465267614294029e-5
2	acreage	7.779204743316515e-41
1	acres	3.0139697060959514e-4
2	acres	5.9981541088245295e-9
1	act	6.260889284858972e-5
2	act	4.90042951988728e-4
1	acted	1.5390171489148616e-5
2	acted	1.373034281983695e-4
1	acting	7.508618612383998e-5
2	acting	1.7745042325760245e-4
1	action	2.0000421442002508e-4
2	action	7.175042370378662e-4
1	actions	5.333219474553631e-5
2	actions	2.510738027022724e-4
1	active	2.0331964315793537e-4
2	active	6.846388304220302e-5
1	actively	1.4753819944215426e-4
2	actively	2.1688580170537104e-5
1	activist	1.494283773608201e-10
2	activist	1.4804564952552372e-4
1	activists	5.646112754599931e-6
2	activists	2.3371141275985638e-4
1	activities	4.2659812055662425e-5
2	activities	2.3904341161108734e-4
1	activity	3.3020586973047934e-4
2	activity	8.119187605239557e-5
1	actor	5.924760613477004e-7
2	actor	2.1775914210031026e-4
1	actors	3.8657844597045447e-10
2	actors	8.181448886213201e-5
1	actress	1.1707686668233257e-9
2	actress	1.7531652286211346e-4
1	acts	1.546115976653242e-8
2	acts	1.0907555304933099e-4
1	actual	1.1720299344302998e-4
2	actual	3.507064444178147e-5
1	actually	2.470903307826572e-4
2	actually	8.076733289201268e-5
1	acustar	3.907109162507268e-5
2	acustar	4.206468724832887e-20
1	ad	4.299252076903582e-5
2	ad	8.686948651678923e-5
1	adam	3.3849960530206787e-10
2	adam	2.3375409068594654e-5
1	adams	3.58207872177855e-5
2	adams	1.3956532175002745e-5
1	adapt	5.271910692314632e-7
2	adapt	3.0799548237039175e-5
1	add	1.2055681970525157e-4
2	add	4.441749944769537e-5
1	added	5.282600759344802e-4
2	added	6.013642316435503e-4
1	adding	2.0172546992712769e-4
2	adding	1.28015727852261e-4
1	addition	3.777864671916795e-4
2	addition	2.1161017991500216e-4
1	additional	2.0142914164660272e-4
2	additional	2.8016425943769405e-4
1	address	8.668452251537386e-9
2	address	3.2725298420238934e-4
1	addressed	8.103616660256787e-9
2	addressed	8.570504326668247e-5
1	addressing	7.981452585303883e-6
2	addressing	7.234777119635205e-5
1	adds	4.285654357802938e-5
2	adds	9.045580668420848e-6
1	adequate	8.198527002310692e-5
2	adequate	3.2380996957763324e-5
1	adequately	1.8699009894747116e-5
2	adequately	2.9803457982025112e-5
1	adhere	3.3260980719216445e-27
2	adhere	2.337564534100965e-5
1	adjacent	3.0940758105364e-5
2	adjacent	1.7362788033609406e-5
1	adjoining	2.1280600874304512e-5
2	adjoining	1.631368716816584e-5
1	adjourned	1.1382472144734877e-16
2	adjourned	3.1167527121266776e-5
1	adjust	2.5225409449754036e-5
2	adjust	5.768332608946794e-6
1	adjusted	6.69790142144104e-5
2	adjusted	2.5731552233145073e-32
1	adjustment	6.68240245078001e-5
2	adjustment	1.0818267350525269e-7
1	adjustments	3.328911117942266e-5
2	adjustments	7.931757954704606e-6
1	adkins	6.3287937260152675e-6
2	adkins	5.4021621118250186e-5
1	adm	3.085392272240945e-5
2	adm	4.0799044392526805e-5
1	administered	1.922424829555441e-5
2	administered	4.891654650933419e-5
1	administration	4.309501874594594e-4
2	administration	0.0013822436277284237
1	administrations	1.1502430024626918e-5
2	administrations	1.789764770876842e-4
1	administrative	2.816616097298355e-5
2	administrative	1.4786550367071983e-4
1	administrator	9.655386714178987e-5
2	administrator	4.948371572032691e-5
1	administrators	1.4872854628776947e-5
2	administrators	4.4161933529881875e-5
1	admission	1.5455650599861865e-7
2	admission	5.4435292162481575e-5
1	admit	3.981575407526928e-6
2	admit	6.73478000289728e-5
1	admits	3.7768593119458733e-6
2	admits	2.853128277483143e-5
1	admitted	9.027895830007962e-5
2	admitted	1.3957429593832555e-4
1	admitting	1.1366885866226303e-7
2	admitting	4.2776009032433484e-5
1	adn	3.567041067670317e-11
2	adn	5.8439088454610086e-5
1	adolf	8.066952496001193e-21
2	adolf	5.454317246235589e-5
1	adopt	4.143817554271966e-5
2	adopt	6.068283183242534e-5
1	adopted	1.2575567731132923e-5
2	adopted	2.1718683685140742e-4
1	adoption	3.545731253653158e-5
2	adoption	3.368994162103049e-5
1	adoptive	2.120200712542502e-5
2	adoptive	8.576663752688089e-6
1	ads	3.069583340213912e-5
2	ads	1.3441197195757147e-4
1	adult	1.090784810080638e-4
2	adult	2.1261842242216574e-5
1	adults	1.261042710222894e-4
2	adults	1.716973815948818e-5
1	advance	2.864967371356549e-4
2	advance	9.611704707917601e-5
1	advanced	2.2918427713396148e-4
2	advanced	1.924286505390604e-5
1	advancement	4.3004572794312894e-12
2	advancement	2.7271583229462694e-5
1	advances	9.543737254161201e-5
2	advances	1.9095500809081714e-5
1	advancing	1.1842993854595654e-4
2	advancing	1.0838592540738256e-5
1	advantage	7.250236617380133e-5
2	advantage	7.406352318577136e-5
1	adventure	2.3973303907001932e-5
2	adventure	1.0538242023142355e-5
1	adverse	1.622304449119197e-7
2	adverse	2.3262408638790193e-5
1	advertisements	3.700079686452548e-5
2	advertisements	2.4820709190978688e-5
1	advertising	1.5837903817068595e-4
2	advertising	6.866485711227435e-5
1	advice	3.432383346044856e-5
2	advice	1.1629586767331798e-4
1	advise	3.201916091851027e-8
2	advise	3.504111866646882e-5
1	advised	2.72170715096208e-5
2	advised	7.060914944501875e-5
1	adviser	5.448596680662467e-5
2	adviser	1.7234965305517336e-4
1	advisers	2.524097490760814e-5
2	advisers	1.1873975374847626e-4
1	advises	1.5209173984356027e-5
2	advises	3.223936025668331e-5
1	advisory	4.1396307313795066e-5
2	advisory	5.2920174037597594e-5
1	advocacy	1.8264078439727515e-5
2	advocacy	1.062733528912486e-5
1	advocate	9.619678096904907e-11
2	advocate	5.843904620725896e-5
1	advocated	4.529215413700333e-25
2	advocated	2.7271586231177944e-5
1	advocates	9.67092113978175e-6
2	advocates	9.064822814086726e-5
1	aeroflot	8.416543093774998e-6
2	aeroflot	1.7500905956891343e-5
1	aeronautics	7.81421832501455e-5
2	aeronautics	1.4038297200034583e-29
1	aerospace	7.814218322667661e-5
2	aerospace	1.6381306973163003e-14
1	affair	9.077081928271636e-6
2	affair	1.2223025448889396e-4
1	affairs	4.6550689578510436e-5
2	affairs	3.5320580936265935e-4
1	affect	1.2135963724986221e-4
2	affect	9.840030599793774e-5
1	affected	2.563671113846845e-4
2	affected	6.650026673332205e-5
1	affecting	6.068810390008374e-5
2	affecting	2.387075409839387e-5
1	affects	5.023300881957328e-5
2	affects	8.737840371133863e-10
1	affidavit	3.2064597069025856e-10
2	affidavit	3.8959185091088395e-5
1	affiliated	7.153306899608157e-5
2	affiliated	4.613155706551766e-6
1	affluent	2.071506573848271e-5
2	affluent	2.0604371066062833e-5
1	afford	9.174872399940724e-5
2	afford	4.8941760350147296e-5
1	affordable	1.9303041283551496e-5
2	affordable	2.5485903734743844e-5
1	afghan	3.8547072291374213e-7
2	afghan	5.427411425020218e-5
1	afghanistan	1.3850061553259338e-15
2	afghanistan	1.051904040335767e-4
1	aflcio	2.7954874391419474e-48
2	aflcio	2.337564534100965e-5
1	afraid	3.4467156839934615e-5
2	afraid	8.89242418543011e-5
1	africa	1.6977439060197292e-6
2	africa	7.663153316690142e-4
1	african	7.0683962299480416e-9
2	african	5.921780815714724e-4
1	africans	3.286101130297566e-19
2	africans	5.45431724623556e-5
1	africas	4.2217446818119695e-23
2	africas	1.0519040403454348e-4
1	aft	2.156731690648212e-5
2	aft	1.2217618749685174e-5
1	aftermath	1.5048464172829937e-5
2	aftermath	2.0663712887684938e-5
1	afternoon	3.453397452154039e-4
2	afternoon	1.6023508527485524e-4
1	aftershocks	6.69790142144104e-5
2	aftershocks	1.1016728896792657e-50
1	aftertax	3.348950710720519e-5
2	aftertax	1.6771492056872016e-25
1	ag	1.0605010501528132e-4
2	ag	5.752920842388995e-13
1	age	2.8916571680462317e-4
2	age	2.1892421019589797e-4
1	aged	5.0232851428157324e-5
2	aged	9.836431015438959e-10
1	agencies	1.8338928133748673e-4
2	agencies	1.8366972051470556e-4
1	agency	8.043819891787904e-4
2	agency	8.722483545903078e-4
1	agencys	1.1706838045742278e-4
2	agencys	2.7372722402320555e-5
1	agenda	2.017230062821509e-5
2	agenda	9.890203842013911e-5
1	agent	4.067920866772799e-5
2	agent	2.0146646206329577e-4
1	agents	1.1226819803603069e-4
2	agents	2.839594032045314e-4
1	ages	7.676879899626803e-5
2	ages	2.433426629451599e-5
1	aggravated	1.5621368180001584e-5
2	aggravated	3.974353086533285e-5
1	aggression	8.684775437401007e-6
2	aggression	7.185685248864403e-5
1	aggressive	9.030470684485255e-5
2	aggressive	4.215780122340937e-5
1	aggressively	3.2801416628102616e-5
2	aggressively	1.2168109195789837e-5
1	aging	2.1132711755739948e-5
2	aging	2.0312854527875575e-5
1	ago	0.001065216394190762
2	ago	8.421278730922394e-4
1	agree	1.0678692188627853e-4
2	agree	2.059705702519341e-4
1	agreed	4.2497832836179984e-4
2	agreed	6.422872698963138e-4
1	agreeing	6.213400913476371e-9
2	agreeing	6.233071729453581e-5
1	agreement	6.7149844427402e-4
2	agreement	0.0010390238243501685
1	agreements	1.0011306402523243e-4
2	agreements	9.375069023191564e-5
1	agrees	9.77427488557475e-11
2	agrees	4.675122245767001e-5
1	agricultural	2.8418867059339754e-4
2	agricultural	6.266460740386693e-5
1	agriculture	4.998817502703248e-4
2	agriculture	6.015678882628849e-5
1	aground	4.465267614294029e-5
2	aground	8.929416921054042e-21
1	ahead	2.885786652556027e-4
2	ahead	1.3362327205666485e-4
1	ahmed	1.1535579904605247e-7
2	ahmed	5.056671332992449e-5
1	aid	4.759042636154708e-5
2	aid	0.0010459575524886953
1	aide	2.4016886341171572e-14
2	aide	2.7661180318518363e-4
1	aided	7.153776053796782e-6
2	aided	3.0070138866739385e-5
1	aides	1.3656892940998548e-12
2	aides	2.64923979578193e-4
1	aiding	4.096235422074688e-6
2	aiding	2.8308358541970582e-5
1	aids	6.622682949565218e-4
2	aids	7.148123759248673e-5
1	ailing	3.6528856735336184e-5
2	ailing	4.852576831066249e-5
1	ailment	8.540357807327462e-6
2	ailment	2.131042429020515e-5
1	ailments	3.97514796315751e-5
2	ailments	2.2900735134557114e-5
1	aim	3.1881117452937365e-5
2	aim	3.6186122519625375e-05
1	aimed	5.5336968890334906e-5
2	aimed	2.1850694506084337e-4
1	aiming	6.6529952509975e-6
2	aiming	1.873186073871912e-5
1	air	0.0021369333495006543
2	air	2.9665934445712245e-4
1	airborne	6.397806644309864e-5
2	airborne	1.767842236124961e-5
1	airbus	8.372376776800622e-5
2	airbus	4.712197871021917e-18
1	aircraft	7.256183419224706e-4
2	aircraft	1.1679199171216088e-5
1	aired	2.92992421685563e-16
2	aired	5.843911335231968e-5
1	aires	5.956133235192728e-6
2	aires	1.9218269788602338e-5
1	airline	5.188022482957795e-4
2	airline	1.990078217181851e-7
1	airliner	8.071962678922093e-5
2	airliner	5.992828546646455e-6
1	airlines	6.642050783086778e-4
2	airlines	2.4285604751111382e-9
1	airplane	1.0226071336618685e-4
2	airplane	1.0436874262014772e-5
1	airplanes	5.5815845178675405e-5
2	airplanes	5.725678821647712e-23
1	airport	5.099764010285995e-4
2	airport	1.9336460387271915e-4
1	airports	1.1435976438721838e-4
2	airports	1.7575511272301385e-5
1	airspace	2.0168255026233496e-5
2	airspace	9.298221772753004e-6
1	airways	6.516014144166987e-5
2	airways	3.243709865370403e-5
1	aisle	2.4225117673018306e-6
2	aisle	2.9476616122698342e-5
1	al	5.141489732352435e-5
2	al	6.930285271192175e-5
1	ala	4.200279223764676e-5
2	ala	2.912120277425525e-5
1	alabama	8.349798867202428e-5
2	alabama	1.2482770208795276e-4
1	alamo	3.907109162507275e-5
2	alamo	2.02072237559659e-72
1	alan	6.746109201563134e-5
2	alan	1.360214412914064e-4
1	alarm	3.348950649205617e-5
2	alarm	4.2937346175688156e-13
1	alaska	1.4856636290302828e-4
2	alaska	9.28310034440328e-6
1	albania	7.61502814240295e-9
2	albania	2.726627094849703e-5
1	albany	3.3489507107200196e-5
2	albany	3.511988378518789e-18
1	albert	1.8369849102992663e-5
2	albert	1.118479706072482e-4
1	alberto	8.43380603641321e-6
2	alberto	2.5280738219050144e-5
1	albrecht	1.6744798661051997e-5
2	albrecht	1.1687791185546406e-5
1	album	2.8719471166266607e-7
2	album	6.213459259653707e-5
1	albuquerque	6.697897140810566e-5
2	albuquerque	2.987876163624429e-11
1	alcohol	1.5131911693805518e-4
2	alcohol	7.748861656785636e-5
1	alcoholic	1.3594972794205674e-5
2	alcoholic	1.7782307650853462e-5
1	alert	1.2886731645746875e-4
2	alert	2.6928957642520283e-5
1	alerted	5.0234260660760284e-5
2	alerted	3.320236128508761e-17
1	alex	1.191574144582545e-7
2	alex	5.4460000696010995e-5
1	alexander	1.4666743344370363e-5
2	alexander	7.936926702946242e-5
1	alexandria	2.102782127758097e-5
2	alexandria	4.765765421690596e-5
1	alfred	7.233276341865267e-5
2	alfred	1.1846851511103e-5
1	alfredo	2.380338766331817e-9
2	alfredo	2.3373983866727134e-5
1	algeria	3.4007390205276587e-6
2	algeria	7.164916418620159e-5
1	algerian	5.951435194303117e-8
2	algerian	6.229351327945084e-5
1	algerians	4.082744066537501e-10
2	algerians	2.727130125601539e-5
1	algerias	3.500730057852269e-15
2	algerias	2.7271586228734424e-5
1	algiers	7.960615613491123e-6
2	algiers	4.119478826227972e-5
1	algotson	4.571137775664249e-5
2	algotson	7.052909021954795e-6
1	ali	9.240871051355823e-7
2	ali	1.1623321475056647e-4
1	alice	3.4255146550250244e-5
2	alice	1.5049347929460131e-5
1	alien	1.2698311027630868e-6
2	alien	4.1969008843142734e-5
1	aliens	2.1948936613259465e-6
2	aliens	1.0365837026575301e-4
1	alike	5.657309463186691e-5
2	alike	1.5055204134706777e-5
1	alito	3.8142433344373924e-27
2	alito	3.506346801151451e-5
1	alive	5.273486914528178e-5
2	alive	1.3850844961022863e-4
1	alkaline	3.348950710720519e-5
2	alkaline	2.5815816132452226e-29
1	allan	3.062281463277776e-5
2	allan	3.3168475847448547e-05
1	allegation	1.0862397680804759e-21
2	allegation	5.454317246235589e-5
1	allegations	2.028546075829572e-5
2	allegations	2.7024445192021045e-4
1	alleged	8.83473411273324e-7
2	alleged	5.097515929787447e-4
1	allegedly	4.341163037484294e-5
2	allegedly	1.8787141153950768e-4
1	alleges	8.689732827342042e-10
2	alleges	4.2854743249294216e-5
1	alleging	4.34410017437642e-6
2	alleging	5.540693540266727e-5
1	allen	2.0043687239868985e-4
2	allen	2.7620704604556795e-5
1	alliance	7.365312723046082e-7
2	alliance	1.7480324190292238e-4
1	allied	1.0868769534387213e-4
2	allied	5.270213739986907e-5
1	allies	1.1361998257298772e-5
2	allies	2.6088925702641446e-4
1	allmale	1.932252962325984e-9
2	allmale	2.3374296630208616e-5
1	allocate	8.295662669803834e-21
2	allocate	2.337564534100965e-5
1	allocated	2.1982001352856826e-5
2	allocated	1.5824110275434417e-5
1	allow	1.4386164234959337e-4
2	allow	5.852703018438605e-4
1	allowed	1.3655765946438405e-4
2	allowed	5.903684752196261e-4
1	allowing	1.0075120107503742e-4
2	allowing	1.673281480678047e-4
1	allows	6.89776089878298e-5
2	allows	1.271710320510434e-4
1	alltime	7.256059873227792e-5
2	alltime	6.786338751438857e-26
1	ally	7.43681302786247e-13
2	ally	0.00011298228529579112
1	alongside	2.820753188843966e-6
2	alongside	3.309458486474664e-5
1	alpo	3.907109162507275e-5
2	alpo	1.1249240206326732e-28
1	alter	1.608040614098691e-5
2	alter	2.3839359227595346e-5
1	altered	4.606285138546169e-5
2	altered	1.0703521640563389e-5
1	alternate	2.0532914473611818e-5
2	alternate	9.043689811895011e-6
1	alternative	8.071792279559706e-5
2	alternative	1.306641264180228e-4
1	altitude	8.37237677583511e-5
2	altitude	6.7439862712186915e-15
1	altogether	1.4914792692075039e-5
2	altogether	2.8548897239371123e-5
1	aluminum	6.697901421441027e-5
2	aluminum	6.45257037758627e-20
1	alvarez	4.994325701130325e-16
2	alvarez	3.8959408901334156e-5
1	alzheimers	1.1664531682547113e-16
2	alzheimers	2.7271586231096558e-5
1	am	6.725345878103474e-4
2	am	5.240363996069562e-4
1	ama	2.997342021006384e-5
2	ama	6.3501663295765626e-6
1	amal	1.3395802842882054e-4
2	amal	2.5724842146332106e-19
1	amalgam	6.1530429670006236e-27
2	amalgam	2.7271586231177944e-5
1	amateur	2.052754893366551e-5
2	amateur	1.2943375844040024e-5
1	ambassador	1.2578560553224753e-9
2	ambassador	2.844028069999076e-4
1	ambassadors	1.9082125822125133e-7
2	ambassadors	4.272215672808255e-5
1	ambitious	1.713600705801953e-5
2	ambitious	2.3102550752653963e-5
1	ambulance	5.023425671138519e-5
2	ambulance	2.7566934077439562e-12
1	ambushed	9.914502844466055e-6
2	ambushed	2.8143154091014655e-5
1	amended	1.2234950710584148e-15
2	amended	5.454317246150182e-5
1	amendment	3.3561903082935548e-15
2	amendment	2.960915076504464e-4
1	amendments	2.3839315075028742e-23
2	amendments	9.350258136403862e-5
1	america	5.850567100654071e-4
2	america	5.344486467187648e-4
1	american	0.0020304972027648535
2	american	0.0016838837575496957
1	americans	3.154027942002033e-4
2	americans	5.746210796187823e-4
1	americas	1.4552300435595561e-4
2	americas	1.3997341120323734e-4
1	ames	8.919473645728079e-5
2	ames	7.720974722536477e-8
1	amid	1.789815794387491e-4
2	amid	6.98680657049661e-5
1	amirav	8.120145232701825e-72
2	amirav	2.7271586231177944e-5
1	ammunition	4.278610612029986e-5
2	ammunition	3.6366332180692286e-5
1	amnesty	7.780826901105686e-16
2	amnesty	1.5973357649635614e-4
1	amount	4.245581592688642e-4
2	amount	1.6727575893848743e-4
1	amounted	4.0780499177771396e-5
2	amounted	2.6078421322324153e-5
1	amounts	9.65634161137292e-5
2	amounts	6.895675499748536e-5
1	amritsar	3.4587226037628745e-5
2	amritsar	3.1297340803889616e-6
1	amtrak	5.0233435365491296e-5
2	amtrak	5.760553763602235e-10
1	amy	5.527363770178636e-23
2	amy	2.337564534100965e-5
1	analysis	9.140740064993212e-5
2	analysis	5.6971885516341704e-5
1	analyst	4.520659942067292e-4
2	analyst	1.1717384146679888e-5
1	analysts	0.0010875809415146743
2	analysts	5.779707926219397e-7
1	analyzing	2.8698190550864755e-5
2	analyzing	7.240275465741229e-6
1	anasazi	5.023426066080784e-5
2	anasazi	6.983766522996796e-21
1	anatoly	1.2635026710111848e-15
2	anatoly	4.675129068113743e-5
1	anc	3.7871874255222396e-29
2	anc	1.7921328094774075e-4
1	anchor	2.7789209489723763e-5
2	anchor	1.956256608583119e-5
1	anchorage	4.465267614294005e-5
2	anchorage	1.3471631059588774e-19
1	ancient	5.512327808754209e-5
2	ancient	3.165093831773564e-5
1	andean	1.4265825251430598e-10
2	andean	2.3375545765679834e-5
1	anderson	6.0823051361453295e-5
2	anderson	1.4455072848895833e-4
1	andersons	4.518960596235172e-9
2	andersons	3.1164372890981786e-5
1	andre	5.134143743296176e-11
2	andre	3.50634321752381e-5
1	andreas	9.617905859728572e-6
2	andreas	7.510146919719895e-5
1	andrei	5.868550444419245e-32
2	andrei	3.116752712134622e-5
1	andreotti	4.580152583194843e-19
2	andreotti	2.7271586231177653e-5
1	andrew	1.4798281631601593e-4
2	andrew	6.033764690078255e-5
1	andrews	4.891572507661199e-5
2	andrews	8.71221841255386e-6
1	andy	3.906538355228253e-5
2	andy	3.984229588632639e-9
1	angeles	5.392421981760809e-4
2	angeles	2.0410463134315886e-4
1	angels	2.178125417064596e-6
2	angels	2.5751256681550558e-5
1	anger	1.9176488017954035e-5
2	anger	5.6741764919768027e-5
1	angered	1.1639822361071462e-5
2	angered	5.4210468877080355e-5
1	angle	3.348950710720513e-5
2	angle	5.905115477994798e-20
1	anglo	1.6523581713247888e-5
2	anglo	1.1842200412852618e-5
1	angola	5.291969900575459e-21
2	angola	1.4025387204605807e-4
1	angolan	4.813139028375634e-18
2	angolan	7.012693602302568e-5
1	angolas	6.17890977985488e-22
2	angolas	2.337564534100965e-5
1	angry	9.541069441038635e-7
2	angry	1.0452443825990938e-4
1	anguish	4.564423812698043e-11
2	anguish	2.3375613481373184e-5
1	animal	1.8974709246433413e-4
2	animal	1.869321344082494e-8
1	animals	3.404764430817777e-4
2	animals	1.4833048879495543e-10
1	anita	1.145290564073629e-8
2	anita	2.7263592113512216e-5
1	ann	4.8419988548588086e-5
2	ann	6.749735540838136e-5
1	anne	8.76077209946633e-6
2	anne	5.622004332733387e-5
1	annexation	1.3799468470140244e-12
2	annexation	3.506346704831285e-5
1	annexed	4.3273953849222076e-17
2	annexed	4.285534979182083e-5
1	annie	5.672297862339923e-6
2	annie	2.7208268399676417e-5
1	anniversary	4.081035427653853e-5
2	anniversary	1.8189521809741267e-4
1	announce	2.467223883669274e-5
2	announce	5.680167676328129e-5
1	announced	9.247077454434382e-4
2	announced	6.285275102358273e-4
1	announcement	2.584824305075652e-4
2	announcement	2.0527764796566883e-4
1	announcements	1.1542608255106351e-5
2	announcements	1.921485622264564e-5
1	announcing	1.7862961821574045e-5
2	announcing	7.324236856454313e-5
1	annual	7.364169772937993e-4
2	annual	1.2491592915055515e-4
1	annually	1.5128123189372427e-4
2	annually	2.6867828721973053e-5
1	annunzio	1.1895793351287113e-21
2	annunzio	7.402287691319725e-5
1	annunzios	3.258675326069253e-20
2	annunzios	3.506346801151445e-5
1	anonymity	2.3649726967024141e-4
2	anonymity	4.115243737470951e-4
1	anonymous	5.964036832103236e-5
2	anonymous	3.239395435495224e-5
1	answer	5.765048761868954e-5
2	answer	2.3637181555456835e-4
